"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Formacao Savanica","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Campo Alagado e Area Pantanosa","Café","Citrus","Soja","Pastagem","Area Urbanizada","Outras Lavouras Temporarias","Rio, Lago e Oceano","Fomacao Campestre","Outras Lavouras Perenes","Outras Areas nao Vegetadas","Silvicultura","Afloramento"
"131","SP-3553708-C19DAF28E878458584873AECBAB95F92","SP",3553708,"2018",4.28,0.41,0,0.03,0.88,2.78,0,0,0,0,0,0.19,0,0,0,0,0,0
"132","SP-3553708-C43168C278EE4E5588BFE11627AA1D22","SP",3553708,"2018",12.18,9.25,0,0.33,1.76,0.71,0,0,0,0.01,0,0.13,0,0,0,0,0,0
"133","SP-3553708-CEA2E53369BC456C8C2A5FEE5AC464BC","SP",3553708,"2018",2.31,1.92,0,0.04,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","SP-3553708-CEBE99BFF56943DF85D47B4BCC07F697","SP",3553708,"2018",4.91,1.64,0,0,0.54,2.41,0,0,0,0,0,0.32,0,0,0,0,0,0
"135","SP-3553708-D4F14A2FF6DA42EA9E15D59F8F57B6A4","SP",3553708,"2018",4.74,3.76,0,0.18,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","SP-3553708-DD040990589F4502BE55DF4E30B3EFCF","SP",3553708,"2018",0.48,0,0,0,0.32,0,0,0,0,0.17,0,0,0,0,0,0,0,0
"137","SP-3553708-DFEE19EE1DAB4088ABE7B5C886ECF753","SP",3553708,"2018",0.42,0.01,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","SP-3553708-E50C78E75E524B3AA2C6066AC4FE482F","SP",3553708,"2018",2.14,0.98,0,0.14,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","SP-3553708-E51EA7DD08D546399EF2AE3287C4ACD3","SP",3553708,"2018",0.68,0.58,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","SP-3553708-E54198ADCEB64A4189267DD5B6CA322A","SP",3553708,"2018",0,0,0,18.52,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","SP-3553708-EB64F2865C5B4374A77FE31919A96F49","SP",3553708,"2018",2.55,1.98,0,0.22,0.14,0,0,0,0,0,0,0.21,0,0,0,0,0,0
"142","SP-3553708-EB6C39204B8F4DB4BCCD5DCE766FCB3B","SP",3553708,"2018",0.08,0.02,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","SP-3553708-EF3B18233C9A4112B4F031A678496534","SP",3553708,"2018",11.79,3.12,0,0.09,8.38,0,0,0,0,0.2,0,0,0,0,0,0,0,0
"144","SP-3553708-F44CB3E2257C41FB909819F720608FC9","SP",3553708,"2018",5.43,3.5,0,0.15,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","SP-3553708-F4D32E294B944997B70D4C734994593A","SP",3553708,"2018",13.8,10.24,0,1.13,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","SP-3553708-F66AFE8DED1D495281CD611D7A4191FB","SP",3553708,"2018",0,0,0,0.02,4.82,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","SP-3553708-FE3919987A7A436C95E6C23B8AE037DD","SP",3553708,"2018",2.98,1.45,0,0.54,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0
