"","fcar","uf","munic","year","farm_area_hec","Formacao Florestal","Formacao Savanica","Campo Alagado e Area Pantanosa","Pastagem","Mosaico de Agricultura e Pastagem","Outras Areas nao Vegetadas","Rio, Lago e Oceano","Cana-de-Acucar","Outras Lavouras Temporarias","Soja","Fomacao Campestre","Café","Citrus","Silvicultura","Area Urbanizada"
"133","SP-3535002-7332E87CC64447AB9B90600125687065","SP",3535002,"2012",31.82,0.67,0,0,4.39,2.33,0,0,24.43,0,0,0,0,0,0,0
"134","SP-3535002-7FBC29A1A88D419EBF00F797B3D62E40","SP",3535002,"2012",120.26,1.6,0,2.92,3.38,33.79,0,0,78.13,0.42,0.02,0,0,0,0,0
"135","SP-3535002-8BB90BDFB1624905888097443F8D60C7","SP",3535002,"2012",56.44,1.68,0,0,44.09,10.61,0,0,0.06,0,0,0,0,0,0,0
"136","SP-3535002-97BAAFDC07D442A1BE4E2DA6D836E9DE","SP",3535002,"2012",17.07,0.05,0,0,2.48,1.58,0,0,12.96,0,0,0,0,0,0,0
"137","SP-3535002-A9A5F5E72BD642C6A60413C4BD7501D8","SP",3535002,"2012",22.16,0,0,0.96,0.7,2.33,0,0,18.18,0,0,0,0,0,0,0
"138","SP-3535002-AD3D9B1A1CA24462A76E05B33C899E51","SP",3535002,"2012",31.6,1.34,0,2.68,21.22,6.35,0,0,0,0,0,0,0,0,0,0
"139","SP-3535002-AE29685C68A446BFA66CA289D83298C9","SP",3535002,"2012",74.48,6.37,0,0,2.04,56.2,0,0,5.41,4.45,0,0,0,0,0,0
"140","SP-3535002-B81BCF8F7EF34150B0B06FA44A8AEB27","SP",3535002,"2012",126.31,0,0,0.84,2.21,13.57,0,0,109.7,0,0,0,0,0,0,0
"141","SP-3535002-C39F61FBD45A4FE9B9DB41642C30FBE5","SP",3535002,"2012",128.26,2.38,0,3.96,97.12,21.31,0,2.47,1.02,0,0,0,0,0,0,0
"142","SP-3535002-C54A6412F2174BAABD020E756C5779EC","SP",3535002,"2012",22.83,0.02,0,0.85,0,2.24,0,0,19.73,0,0,0,0,0,0,0
"143","SP-3535002-C9156E596B5E4BF5A7E4AB052700B7B7","SP",3535002,"2012",36.53,5.4,0,0,12.23,13.03,0,0,5.88,0,0,0,0,0,0,0
"144","SP-3535002-D3C38922D0114B2DBBF18E00D6EA9EB9","SP",3535002,"2012",135.71,8.99,0,0.41,33.73,89.99,0,0,0.33,0.08,0,0,2.18,0,0,0
"145","SP-3535002-D426BF430B4C4F43B985BEE07AAA7791","SP",3535002,"2012",119.88,15.2,0,0,0,6.33,0,0,19.5,0.65,78.2,0,0,0,0,0
"146","SP-3535002-D68439EDE895466F8C315C4E7919783B","SP",3535002,"2012",123.22,0.14,0,9.49,31.88,36.88,0,0,44.83,0,0.01,0,0,0,0,0
"147","SP-3535002-E9610D9EE80E4223921BFC53E361EE3F","SP",3535002,"2012",26.08,8.6,0,0.51,0.28,15.48,0,0,0.21,1.01,0,0,0,0,0,0
"148","SP-3536307-03C0130B26BC4B9E8A6DA288DA994CFB","SP",3536307,"2012",223.09,28.17,0.84,0,0,25.13,0,0,168.96,0,0,0,0,0,0,0
