"","fcar","uf","munic","year","app_area_hec","Formacao Florestal","Campo Alagado e Area Pantanosa","Pastagem","Mosaico de Agricultura e Pastagem","Rio, Lago e Oceano","Cana-de-Acucar","Formacao Savanica","Soja","Fomacao Campestre","Café","Outras Lavouras Temporarias"
"152","SP-3536307-8FA0CD7AF87243C2AD4A29EF1C780683","SP",3536307,"2012",0,0,0,0,0,0,38.91,0,0,0,0,0
"153","SP-3536307-A14D5F1196DC4FE89631A52006CE8D3A","SP",3536307,"2012",2.49,2.42,0,0,0.07,0,0,0,0,0,0,0
"154","SP-3536307-AA36A6369D48486EB1C65F08DFF7BEC0","SP",3536307,"2012",0,0,0,0,0,0,8.4,0,0,0,0,0
"155","SP-3536307-AAED526D05264DA281EA7C8692482317","SP",3536307,"2012",0,0.16,0,0,6.92,0,110.93,0,0,0,0,0.67
"156","SP-3536307-D3EBF3FAC8564D139139231BDCBFA492","SP",3536307,"2012",5.41,4.61,0,0,0.72,0,0.09,0,0,0,0,0
"157","SP-3536307-E76342C0AB1F47D29C1AC5568BE76819","SP",3536307,"2012",3.9,2.18,0,0,1.42,0,0.3,0,0,0,0,0
"158","SP-3536307-F5CDFF4EC2FB43FEA76AA177E901AA60","SP",3536307,"2012",12.57,9.27,1.07,0.02,1.4,0.6,0,0.21,0,0,0,0
"159","SP-3538105-D4B13E2251B3446AA7B445237DF0CBCD","SP",3538105,"2012",13.77,2.41,2.32,0,8.74,0,0.28,0,0,0,0,0.01
"160","SP-3540309-455A2263AE1B4CEDBF18C9A8EF56FD37","SP",3540309,"2012",25.04,0.27,8.49,3.31,12.27,0.1,0.6,0,0,0,0,0
"161","SP-3540309-663984AC1E8A4B0F817BC2599BBF2DA4","SP",3540309,"2012",2.4,0,0.02,2.3,0,0.07,0,0,0,0,0,0
"162","SP-3540903-262EC6A45FFB45A8B306D5BB26DCAB02","SP",3540903,"2012",0,2.07,1.67,0,0.83,0,134.39,0,0,0,0,0.14
"163","SP-3540903-73F249DF772D472EA6E4054C889E3C37","SP",3540903,"2012",2.16,0,0,0,2.08,0,0.09,0,0,0,0,0
"164","SP-3540903-B11929B3E6EA4E9696D1E205DB6984F0","SP",3540903,"2012",2.95,2,0.66,0,0.28,0,0.01,0,0,0,0,0
"165","SP-3543402-1DA8730846C74686A4AB4FFFEDF102CA","SP",3543402,"2012",0,0.03,0,0,0.03,0,80.49,0,0,0,0,0
"166","SP-3543402-1F1F7808BB7942A7AC24E42F391C7A50","SP",3543402,"2012",22.88,14.41,2.95,0,4.97,0,0.55,0,0,0,0,0
"167","SP-3543402-42E69DAFD66A48F2A2C94EF340E96EAD","SP",3543402,"2012",6.75,0.93,3.04,0,1.17,0,1.02,0,0,0,0,0.58
