,NUMREGCAR,Count,uf,munic,fcar
182,SP35243033894CBBF24EB443882EC713BBB492DB7,1,SP,3524303,SP-3524303-3894CBBF24EB443882EC713BBB492DB7
183,SP35243033DC590A41CA340C08A97A187975279CD,1,SP,3524303,SP-3524303-3DC590A41CA340C08A97A187975279CD
184,SP352430345EABA24951149768D24A6F8C9E5BA8A,1,SP,3524303,SP-3524303-45EABA24951149768D24A6F8C9E5BA8A
185,SP352430347E7FD74ADEE4D58A7E4A0BFC9137B07,1,SP,3524303,SP-3524303-47E7FD74ADEE4D58A7E4A0BFC9137B07
186,SP35243034BF2884CA53D40CD816BC459457BC020,1,SP,3524303,SP-3524303-4BF2884CA53D40CD816BC459457BC020
187,SP35243034DC775351EA3433F98FD470B175BED2F,1,SP,3524303,SP-3524303-4DC775351EA3433F98FD470B175BED2F
188,SP3524303577FC36D359E4056801675249F938706,1,SP,3524303,SP-3524303-577FC36D359E4056801675249F938706
189,SP3524303653E43E2C5AA42EB81CDC9AFA0DD3027,1,SP,3524303,SP-3524303-653E43E2C5AA42EB81CDC9AFA0DD3027
190,SP35243036931815FD9A8448A903EA686136BB95E,1,SP,3524303,SP-3524303-6931815FD9A8448A903EA686136BB95E
191,SP35243036D06E71E70C44C8780BDA3D724FFEA22,1,SP,3524303,SP-3524303-6D06E71E70C44C8780BDA3D724FFEA22
192,SP35243036D6A603185A04DA7A83DCEDC27D53E67,1,SP,3524303,SP-3524303-6D6A603185A04DA7A83DCEDC27D53E67
193,SP3524303733F23B337C949A4B6314BBA22BD73A4,1,SP,3524303,SP-3524303-733F23B337C949A4B6314BBA22BD73A4
194,SP35243037657C9E80AE741A6B063D8852A3147C0,1,SP,3524303,SP-3524303-7657C9E80AE741A6B063D8852A3147C0
195,SP352430376C011CD099C44CE9ED727CE5F640AC9,1,SP,3524303,SP-3524303-76C011CD099C44CE9ED727CE5F640AC9
196,SP35243037719C63514204FAA8BE3E4E773DD4B26,1,SP,3524303,SP-3524303-7719C63514204FAA8BE3E4E773DD4B26
197,SP35243037A7AD6C4FA144A09B9066F7638202E55,1,SP,3524303,SP-3524303-7A7AD6C4FA144A09B9066F7638202E55
198,SP35243037B0E59609F274F7EB2F7C1A6609A0ABB,1,SP,3524303,SP-3524303-7B0E59609F274F7EB2F7C1A6609A0ABB
199,SP35243037DEAD97D39D84F909939F7C98B260443,1,SP,3524303,SP-3524303-7DEAD97D39D84F909939F7C98B260443
200,SP35243037F899BC4BF434FC29BCD16956D775084,1,SP,3524303,SP-3524303-7F899BC4BF434FC29BCD16956D775084
201,SP352430380055BF84ED64248A45442CF30854E39,0,SP,3524303,SP-3524303-80055BF84ED64248A45442CF30854E39
202,SP3524303825FAA66535C4771B3AE7DEBCB03FA43,1,SP,3524303,SP-3524303-825FAA66535C4771B3AE7DEBCB03FA43
